"stop,name_tc,name_en"
"001171,中環碼頭 - 天星小輪,Central Ferry - Star Ferry"
"001173,""恒生銀行總行大廈, 德輔道中"",""Hang Seng Bank Headquarters, Des Voeux Road Central"""
"001174,""金鐘 - 力寶中心, 紅棉路"",""Admiralty - Lippo Centre, Cotton Tree Drive"""
"001175,""急庇利街, 德輔道中"",""Cleverly Street, Des Voeux Road Central"""
"001176,""國際金融中心商場, 民祥街"",""IFC Mall, Man Cheung Street"""
"001177,卑路乍灣,Belcher Bay"
"001178,""香港站, 民祥街"",""Hong Kong Station, Man Cheung Street"""
"001180,""郵政總局, 康樂廣場"",""General Post Office, Connaught Place"""
"001181,""域多利皇后街, 干諾道中"",""Queen Victoria Street, Connaught Road Central"""
"001183,西祥街,Sai Cheung Street"
"001184,""中環街市, 德輔道中"",""Central Market, Des Voeux Road Central"""
"001185,""永和街, 干諾道中"",""Wing Wo Street, Connaught Road Central"""
"001186,摩星嶺,Felix Villas"
"001187,""永安中心, 德輔道中"",""Wing On Centre, Des Voeux Road Central"""
"001188,""香港潮商學校, 薄扶林道"",""Chiu Sheung School Hong Kong, Pok Fu Lam Road"""
"001190,水街,Water Street"
"001191,""高樂花園, 干諾道西"",""Connaught Garden, Connaught Road West"""
"001192,""均益大廈第二期, 德輔道西"",""Kwan Yick Building Phase II, Des Voeux Road West"""
"001193,""皇后街, 干諾道西"",""Queen Street, Connaught Road West"""
"001195,中環碼頭 - 長洲及南丫島渡輪,Central Ferry – Cheung Chau & Lamma Island Ferry"
"001196,香港站,Hong Kong Station"
"001197,""明華大廈 1 座, 阿公岩道"",""Ming Wah Dai Ha Block 1, A Kung Ngam Road"""
"001198,""明華大廈 F 座, 阿公岩道"",""Ming Wah Dai Ha Block F, A Kung Ngam Road"""
"001199,""明華大廈 B 座, 阿公岩道"",""Ming Wah Dai Ha Block B, A Kung Ngam Road"""
"001200,""筲箕灣官立小學, 阿公岩道"",""Shau Kei Wan Government Primary School, A Kung Ngam Road"""
"001201,""筲箕灣官立小學, 阿公岩道"",""Shau Kei Wan Government Primary School, A Kung Ngam Road"""
"001202,""明華大廈 G 座, 阿公岩道"",""Ming Wah Dai Ha Block G, A Kung Ngam Road"""
"001203,""明華大廈 C 座, 阿公岩道"",""Ming Wah Dai Ha Block C, A Kung Ngam Road"""
"001204,""明華大廈 1 座, 阿公岩道"",""Ming Wah Dai Ha Block 1, A Kung Ngam Road"""
"001205,阿公岩村道,A Kung Ngam Village Road"
"001206,阿公岩村道,A Kung Ngam Village Road"
"001207,筲箕灣,Shau Kei Wan"
"001208,""豐林閣, 寶馬山道"",""Oxford Court, Braemar Hill Road"""
